Image_Point,Vertical_Mean,Vertical_Std,Horizontal_Mean,Horizontal_Std
ML-FA22_02, 0.624935064935065, 0.09954661938814072, 0.6224747474747475, 0.13608534078861437
ML-FA31_02, 0.7833333333333332, 0.07119922513790967, 0.8608585858585858, 0.13019409548725674
ML-FA22_03, 0.7384415584415585, 0.08994516798238801, 0.7145454545454546, 0.09677686454528302
ML-FA37_01, 0.9927272727272728, 0.06823115098384955, 0.9348484848484849, 0.13190523074916286
ML-FA28_03, 0.6449350649350649, 0.10512134680641064, 0.7646464646464647, 0.18014097348898225
ML-FA42_01, 0.6378787878787879, 0.07952741498188308, 0.8070454545454545, 0.2506478176892763
ML-FA39_08, 0.877020202020202, 0.12889453891862365, 0.6952020202020203, 0.11186469655650987
ML-FA38_03, 0.824331550802139, 0.24301341651020733, 0.9597051597051599, 0.3848164746854925
ML-FA29_08, 0.877020202020202, 0.12889453891862365, 0.6952020202020203, 0.11186469655650987
ML-FA22_01, 0.651948051948052, 0.11703885728115485, 0.6699494949494951, 0.08527542597774669
ML-FA44_02, 1.066753246753247, 0.04730981847284144, 1.245187165775401, 0.16884873253289823
ML-FA31_01, 1.094191919191919, 0.06629208740848477, 1.070707070707071, 0.14322968754253174
ML-FA23_02, 0.5005194805194805, 0.07105023771462775, 0.5141414141414142, 0.0991109340447343
ML-FA39_01, 0.877020202020202, 0.12889453891862365, 0.6952020202020203, 0.11186469655650987
ML-FA23_03, 0.6187012987012986, 0.10139389466593673, 0.6155844155844157, 0.08694123810628766
ML-FA29_03, 0.7220779220779222, 0.10119208508571176, 0.7664141414141414, 0.09909645625388094
ML-FA45_03, 1.028311688311688, 0.1102700651400042, 1.2788770053475935, 0.19900970908070648
ML-FA43_01, 0.7249350649350651, 0.09182249847491854, 0.7787878787878788, 0.12893930491753502
ML-FA36_03, 1.1240641711229948, 0.11889710222931357, 1.2825974025974025, 0.2073316324201163
ML-FA40_01, 0.6176767676767676, 0.18099490940038673, 0.7636363636363638, 0.12005125933054729
ML-FA23_01, 0.7625974025974026, 0.05752763017979759, 0.7765151515151515, 0.09667034760731825
ML-FA39_06, 0.7626623376623377, 0.149918106052993, 0.8284090909090909, 0.11687984753724903
